pre_participant_id,Pre_Survey_Pre_Survey_Nr,Pre_Survey_StartDate,Pre_Survey_EndDate,Pre_Survey_Status,Pre_Survey_Progress,Pre_Survey_Duration,Pre_Survey_Finished,Pre_Survey_RecordedDate,Pre_Survey_DistributionChannel,Pre_Survey_UserLanguage,Pre_Survey_Q_RecaptchaScore,Pre_Survey_Q1,Pre_Survey_Q2,Pre_Survey_Q2_TEXT,Pre_Survey_Q3,Pre_Survey_Q4_1,Pre_Survey_Q4_1_TEXT,Pre_Survey_Q4_2,Pre_Survey_Q4_3,Pre_Survey_Q4_3_TEXT,Pre_Survey_Q6,Pre_Survey_Q7,Pre_Survey_Q7_TEXT,Pre_Survey_Q8,Pre_Survey_Q8_score,Pre_Survey_Q9,Pre_Survey_Q9_TEXT,Pre_Survey_Q10,Pre_Survey_Q11,Pre_Survey_Q11_TEXT,Pre_Survey_Q12,Pre_Survey_Q12_TEXT,Pre_Survey_Q13_1,Pre_Survey_Q13_1_score,Pre_Survey_Q13_2,Pre_Survey_Q13_2_score,Pre_Survey_Q13_3,Pre_Survey_Q13_3_score,Pre_Survey_Q13_4,Pre_Survey_Q13_4_score,Pre_Survey_Q13_5,Pre_Survey_Q13_5_score,Pre_Survey_Q13_6,Pre_Survey_Q13_6_score,Pre_Survey_Q14,Pre_Survey_Q14_TEXT,Pre_Survey_Q15,Pre_Survey_Q15_TEXT,Pre_Survey_Q16,Pre_Survey_Q16_score,Pre_Survey_Q17,Pre_Survey_Q17_TEXT,Pre_Survey_Q18,Pre_Survey_Q18_score,Pre_Survey_Q19,Pre_Survey_Q19_TEXT,Pre_Survey_Q20,Pre_Survey_Q20_TEXT,Pre_Survey_Q21_1,Pre_Survey_Q21_1_score,Pre_Survey_Q21_2,Pre_Survey_Q21_2_score,Pre_Survey_Q21_3,Pre_Survey_Q21_3_score,Pre_Survey_Q21_4,Pre_Survey_Q21_4_score,Pre_Survey_Q21_5,Pre_Survey_Q21_5_score,Pre_Survey_Q22,Pre_Survey_Q23,Pre_Survey_Q23_TEXT,Pre_Survey_Q24,Pre_Survey_Q25,Pre_Survey_Q26,Pre_Survey_Q27,Pre_Survey_Q28,Pre_Survey_Q29,Pre_Survey_Q30,finished_clean,followup_opt_in
PRE00092,1,03.03.26 12:25,03.03.26 12:35,IP Address,100,596,True,03.03.26 12:35,anonymous,EN,1,"Yes, I agree to participate","Drawing or sketching by hand (on paper or digitally);Describing the image verbally (spoken explanation);Using existing images (photos, illustrations, references)",NA,Yes,NA,NA,NA,Writing and editing text;Paraphrasing or rephrasing text;Information search and Q&A;Summarizing content;Translation and language support;Programming help (generation or explanation),NA,1Ð2 years,Monthly,NA,NA,NA,ChatGPT (image generation);Leonardo / Playground / similar tools,NA,"Yes, subscription-based",Personal use / hobby;University / studies,NA,"Products / mockups;Logos / icons / illustrations;Style experiments (e.g., Òin the style ofÉÓ)",NA,High priority,6,Neutral,4,High priority,6,Moderate priority,5,Somewhat priority,3,Essential priority,7,Unexpected or incorrect interpretations;Time spent on multiple iterations,NA,I write them entirely myself,NA,Somewhat agree,5,Artistic or style references;Materials / textures;Negative prompts (explicitly stating what should not be included),NA,Neither easy nor difficult,4,4-6,NA,As a tool,NA,Slightly agree,5,Slightly agree,5,Slightly disagree,3,Neither agree nor disagree,4,Slightly disagree,3,100,I don't work with others,NA,What colour would match this chair/skincolour/furniture.,Digitalization of a handdrawn sketch,Often when zrying to generate a compilation of multiple things.,Easy to manipulate actual pictures to the point where you cant tell the difference. We dont know whatÔs real anymore,29,Female,No thanks.,TRUE,FALSE
PRE00154,2,05.03.26 23:35,05.03.26 23:44,IP Address,100,527,True,05.03.26 23:44,anonymous,EN,1,"Yes, I agree to participate","Drawing or sketching by hand (on paper or digitally);Describing the image verbally (spoken explanation);Using existing images (photos, illustrations, references)",NA,Yes,NA,NA,NA,Information search and Q&A;Programming help (generation or explanation);Decision support / advice,NA,7Ð12 months,Less often,NA,NA,NA,Nano Banana,NA,No,Personal use / hobby,NA,People / characters;Others (please describe shortly),hybrid animals,High priority,6,High priority,6,Essential priority,7,Moderate priority,5,High priority,6,Essential priority,7,Finding the right words;Time spent on multiple iterations,NA,I write them entirely myself,NA,Somewhat agree,5,Artistic or style references,NA,Somewhat difficult,5,2-3,NA,As a creative partner,NA,Slightly agree,5,Agree,6,Neither agree nor disagree,4,Agree,6,Slightly agree,5,0,"One person writes prompts, others evaluate;Joint prompt writing and iteration",NA,My kids want me to create images,I generated an hybrid between my dog and my cat. It was stunning.,"I asked it to generate some specific hybrids and it was a bit tame, e.g. a gorilla orca that was just an orca with fur.","It obviously has some kind of limits to what it is allowed to generate but they are not stated clearly. I do not know how far it can go, on what criterias. I would never let the kids use it alone.",43,Male,No thanks.,TRUE,FALSE
PRE00124,2,05.03.26 23:35,05.03.26 23:41,IP Address,100,353,True,05.03.26 23:41,anonymous,EN,1,"Yes, I agree to participate","Drawing or sketching by hand (on paper or digitally);Describing the image verbally (spoken explanation);Using existing images (photos, illustrations, references)",NA,Yes,NA,NA,NA,Information search and Q&A;Creative writing or storytelling,NA,More than 2 years,Less often,NA,NA,NA,ChatGPT (image generation);Midjourney;DALLáE,NA,No,Personal use / hobby,NA,"Landscapes / environments;Style experiments (e.g., Òin the style ofÉÓ)",NA,High priority,6,Essential priority,7,High priority,6,Neutral,4,Moderate priority,5,High priority,6,Finding the right words;Controlling details;Unexpected or incorrect interpretations,NA,"I write them entirely myself;I ask another AI (e.g., ChatGPT) to generate prompts",NA,Agree,6,Artistic or style references,NA,Very difficult,6,4-6,NA,As a tool,NA,Agree,6,Agree,6,Slightly disagree,3,Slightly agree,5,Slightly disagree,3,100,I don't work with others,NA,Creation of a profil picture,I don't have an example,When there's to many element that I want to include,How to recognise if an images is from AI or just a photo,19,Male,No thanks.,TRUE,FALSE
PRE00026,2,05.03.26 23:35,05.03.26 23:41,IP Address,100,405,True,05.03.26 23:41,anonymous,EN,1,"Yes, I agree to participate","Drawing or sketching by hand (on paper or digitally);Describing the image verbally (spoken explanation);Using existing images (photos, illustrations, references);Creating diagrams or schematics",NA,Yes,NA,NA,NA,Writing and editing text;Information search and Q&A;Explaining complex concepts;Brainstorming ideas;Translation and language support;Programming help (generation or explanation),NA,7Ð12 months,Monthly,NA,NA,NA,ChatGPT (image generation);Stable Diffusion (local or cloud);Nano Banana,NA,"Yes, subscription-based",Personal use / hobby;Professional work;Ideation / brainstorming,NA,People / characters;Photorealistic images;Scenes / storyboards /scenerios,NA,High priority,6,High priority,6,Essential priority,7,Essential priority,7,Essential priority,7,Essential priority,7,Finding the right words;Controlling details;Unexpected or incorrect interpretations,NA,I write them entirely myself,NA,Somewhat agree,5,"Composition (e.g., perspective, framing);Lighting / color;Negative prompts (explicitly stating what should not be included)",NA,Neither easy nor difficult,4,2-3,NA,As a tool,NA,Neither agree nor disagree,4,Slightly disagree,3,Slightly agree,5,Slightly agree,5,Slightly disagree,3,90,Joint discussion of goals and criteria,NA,"Professional: when talking about interfaces, before getting into the implementation details and code. Personal: generating custom memes mostly.",Generated a cute variation of a common meme to amuse some friends,"When it doesn't match my prompt at all, has low visual fidelity/artefacts.","Mass copy-right violations, ability of certain models to circumvent safety measures wrt generating inappropriate content",38,Male,No thanks.,TRUE,FALSE
PRE00183,1,26.02.26 15:01,26.02.26 15:11,IP Address,100,633,True,26.02.26 15:11,anonymous,EN,1,"Yes, I agree to participate","Drawing or sketching by hand (on paper or digitally);Describing the image verbally (spoken explanation);Using existing images (photos, illustrations, references);Creating diagrams or schematics;Using physical objects or models",NA,Yes,NA,NA,NA,Writing and editing text;Paraphrasing or rephrasing text;Information search and Q&A;Summarizing content;Explaining complex concepts;Translation and language support;Programming help (generation or explanation),NA,1Ð2 years,Less often,NA,NA,NA,ChatGPT (image generation);DALLáE;Adobe Firefly;Other,Canva,"Yes, subscription-based",Personal use / hobby,NA,People / characters,NA,Neutral,4,Moderate priority,5,High priority,6,Essential priority,7,Neutral,4,Moderate priority,5,Unexpected or incorrect interpretations,NA,I write them entirely myself,NA,Agree,6,"Artistic or style references;Composition (e.g., perspective, framing);Lighting / color;Materials / textures;Textelements to be displayed on the image;Negative prompts (explicitly stating what should not be included)",NA,Somewhat easy,3,2-3,NA,As a tool,NA,Agree,6,Slightly agree,5,Agree,6,Disagree,2,Neither agree nor disagree,4,100,I don't work with others,NA,Just for gun like adding a crazy hat on someones head,As IÔm only doing it for fun itÔs only goal is to male my laugh. Sometimes itÔs even funnier if it suprises me than if it hits my expecttaion,When itÔs to random or to fake,A lot! I donÔt like the amount of trash it produces and how âbadÔ people can missuse it for them to manipulate or even create illegal content,29,Female,No thanks.,TRUE,FALSE
PRE00146,2,05.03.26 23:38,05.03.26 23:40,IP Address,100,80,True,05.03.26 23:40,anonymous,EN,1,"Yes, I agree to participate","Drawing or sketching by hand (on paper or digitally);Describing the image verbally (spoken explanation);Using existing images (photos, illustrations, references);Gesturing or acting things out",NA,No,Writing and editing text;Paraphrasing or rephrasing text;Information search and Q&A;Summarizing content;Explaining complex concepts;Translation and language support;Programming help (generation or explanation),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
PRE00039,1,26.02.26 16:36,26.02.26 16:41,IP Address,100,343,True,26.02.26 16:41,anonymous,EN,1,"Yes, I agree to participate","Drawing or sketching by hand (on paper or digitally);Describing the image verbally (spoken explanation);Using existing images (photos, illustrations, references);Gesturing or acting things out",NA,Yes,NA,NA,NA,Creative writing or storytelling,NA,7Ð12 months,Monthly,NA,NA,NA,ChatGPT (image generation);Nano Banana,NA,"Yes, subscription-based",Personal use / hobby,NA,"Style experiments (e.g., Òin the style ofÉÓ);Scenes / storyboards /scenerios",NA,High priority,6,High priority,6,Essential priority,7,Somewhat priority,3,Moderate priority,5,High priority,6,Finding the right words;Controlling details;Unexpected or incorrect interpretations,NA,"I write them entirely myself;I ask another AI (e.g., ChatGPT) to generate prompts",NA,Agree,6,Lighting / color;Materials / textures,NA,Somewhat easy,3,2-3,NA,As a tool,NA,Agree,6,Agree,6,Strongly agree,7,Strongly agree,7,Neither agree nor disagree,4,90,Joint discussion of goals and criteria,NA,-,NA,NA,Nothing,29,Male,YES! I want to fill out the second survey and get a chance to win 2 cinema tickets (please write your e-mail in the text box below),TRUE,TRUE
PRE00115,1,03.04.26 15:46,03.04.26 15:53,IP Address,100,438,True,03.04.26 15:53,anonymous,EN,1,"Yes, I agree to participate","Drawing or sketching by hand (on paper or digitally);Describing the image verbally (spoken explanation);Using existing images (photos, illustrations, references);Gesturing or acting things out",NA,Yes,NA,NA,NA,Writing and editing text;Information search and Q&A;Summarizing content;Brainstorming ideas;Translation and language support;Programming help (generation or explanation),NA,7Ð12 months,Daily,NA,NA,NA,ChatGPT (image generation);Midjourney;Nano Banana,NA,"Yes, subscription-based",Personal use / hobby;University / studies;Professional work;Social media content,NA,People / characters;Products / mockups;Logos / icons / illustrations;Photorealistic images,NA,Essential priority,7,Moderate priority,5,Essential priority,7,Moderate priority,5,Somewhat priority,3,High priority,6,Finding the right words;Controlling details;Unexpected or incorrect interpretations,NA,"I write them entirely myself;I use templates and adapt them;I ask another AI (e.g., ChatGPT) to generate prompts;A combination of the above",NA,Strongly agree,7,"Composition (e.g., perspective, framing);Lighting / color;Materials / textures;Textelements to be displayed on the image;Negative prompts (explicitly stating what should not be included)",NA,Very easy,2,2-3,NA,As a tool,NA,Agree,6,Neither agree nor disagree,4,Slightly agree,5,Disagree,2,Agree,6,100,I don't work with others,NA,Creation of logos or adjusting picture to a certain brand strategy stile,Correct implementation of visualisation of words and text,when it creates hallucinations,I don't know what happens with my uploaded data and pictures,32,Male,YES! I want to fill out the second survey and get a chance to win 2 cinema tickets (please write your e-mail in the text box below),TRUE,TRUE
PRE00030,2,05.03.26 23:35,05.03.26 23:45,IP Address,100,602,True,05.03.26 23:45,anonymous,EN,1,"Yes, I agree to participate","Drawing or sketching by hand (on paper or digitally);Describing the image verbally (spoken explanation);Using existing images (photos, illustrations, references);Gesturing or acting things out",NA,Yes,NA,NA,NA,Writing and editing text;Paraphrasing or rephrasing text;Information search and Q&A;Summarizing content;Explaining complex concepts;Brainstorming ideas;Translation and language support;Decision support / advice,NA,7Ð12 months,Less often,NA,NA,NA,ChatGPT (image generation);Nano Banana,NA,No,Personal use / hobby;Ideation / brainstorming,NA,"Products / mockups;Photorealistic images;Style experiments (e.g., Òin the style ofÉÓ)",NA,Moderate priority,5,Essential priority,7,High priority,6,Low priority,2,High priority,6,Essential priority,7,Knowing how to start;Finding the right words;Controlling details,NA,"I write them entirely myself;I ask another AI (e.g., ChatGPT) to generate prompts;I use prompts from online communities",NA,Strongly agree,7,"Composition (e.g., perspective, framing);Lighting / color;Negative prompts (explicitly stating what should not be included)",NA,Very easy,2,2-3,NA,As a tool;As a creative partner,NA,Strongly agree,7,Strongly agree,7,Strongly agree,7,Disagree,2,Agree,6,100,I don't work with others,NA,I used image generation to create concepts of a dashboard design for my local AI,Gemini (nano banana) created in 1 prompt a perfect dashboard concept I was not even imagining possible. It was over my expectations,"I never really had problems with ""fails"" as I use it mainly for ideas, I can easily adapt myself and just pick in the images the stuff I didn't think about","I find problematic that they are training on real artist art. Some people use it even to create images in the specific artist style so they don't have to pay for a commision. Or worse, they sell the AI images to others, even if they are ""copied"" on the syle of someone",35,Female,No thanks.,TRUE,FALSE
PRE00034,1,26.02.26 18:30,26.02.26 18:54,IP Address,100,1449,True,26.02.26 18:54,anonymous,EN,1,"Yes, I agree to participate","Drawing or sketching by hand (on paper or digitally);Describing the image verbally (spoken explanation);Using existing images (photos, illustrations, references);Gesturing or acting things out;Creating diagrams or schematics;Using physical objects or models;Other (please specify):",Create 3D models with adequate design tools for technical drawings,Yes,NA,NA,NA,Writing and editing text;Paraphrasing or rephrasing text;Information search and Q&A;Summarizing content;Explaining complex concepts;Brainstorming ideas;Translation and language support;Programming help (generation or explanation);Decision support / advice;Other (please explain shortly),Business companion & second opinion,More than 2 years,Weekly,NA,NA,NA,ChatGPT (image generation);Midjourney;DALLáE,NA,"Yes, subscription-based",Personal use / hobby;University / studies;Professional work;Creative projects (art/design);Ideation / brainstorming,NA,People / characters;Products / mockups;Logos / icons / illustrations;Photorealistic images;Scenes / storyboards /scenerios,NA,High priority,6,Moderate priority,5,High priority,6,High priority,6,Moderate priority,5,High priority,6,Controlling details;Maintaining consistency across images;Unexpected or incorrect interpretations;Time spent on multiple iterations,NA,"I write them entirely myself;I ask another AI (e.g., ChatGPT) to generate prompts",NA,Agree,6,"Artistic or style references;Composition (e.g., perspective, framing);Lighting / color;Materials / textures;Negative prompts (explicitly stating what should not be included);Others (please describe shortly)",ãNo text pleaseÒ -&gt; rarely works though,Somewhat easy,3,7-10,NA,As a tool;As a creative partner,NA,Strongly agree,7,Agree,6,Agree,6,Slightly disagree,3,Neither agree nor disagree,4,100,I don't work with others,NA,Interior design - uploading photo of current state and generating ideas for future state based on provided design ideas; logo-design,Needed images to modge-podge onto coasters for kids to play with as memory cards. Images had to have an historical context and in a certain layout and kid-friendly style,When I describe something and the AI interprets the prompt to then display text on the generated image. ItÕs seemingly impossible to get rid of the text once the AI got stuck on the idea,"My individual touch gets lost, because AI builds on known visualizations. Sometimes it takes longer to prompt and alter than actually doing it from scratch with a sketch for example; sometimes the generated images shows too much context and isnÕt abstract enough",30,Female,YES! I want to fill out the second survey and get a chance to win 2 cinema tickets (please write your e-mail in the text box below);I'm interested in the study findings (please write your e-mail in the text box below),TRUE,TRUE
PRE00010,1,14.03.26 12:30,14.03.26 12:35,IP Address,100,311,True,14.03.26 12:35,anonymous,EN,1,"Yes, I agree to participate","Drawing or sketching by hand (on paper or digitally);Describing the image verbally (spoken explanation);Using existing images (photos, illustrations, references);Googling",NA,Yes,NA,NA,NA,Writing and editing text;Paraphrasing or rephrasing text;Summarizing content;Explaining complex concepts,NA,1Ð2 years,Less often,NA,NA,NA,ChatGPT (image generation);Midjourney,NA,"Yes, subscription-based",Personal use / hobby;Professional work,NA,Products / mockups;Logos / icons / illustrations,NA,High priority,6,Moderate priority,5,Essential priority,7,Moderate priority,5,Moderate priority,5,High priority,6,Finding the right words;Controlling details;Unexpected or incorrect interpretations,NA,I write them entirely myself,NA,Agree,6,"Artistic or style references;Composition (e.g., perspective, framing);Negative prompts (explicitly stating what should not be included)",NA,Somewhat difficult,5,2-3,NA,As a tool,NA,Agree,6,Agree,6,Agree,6,Neither agree nor disagree,4,Neither agree nor disagree,4,100,I don't work with others,NA,visualisation of ideas for work,initial help with ideas and what they could look like,the visualisation of what i thought of was intirely incorrect.,hallucinations,29,Male,YES! I want to fill out the second survey and get a chance to win 2 cinema tickets (please write your e-mail in the text box below),TRUE,TRUE
PRE00088,1,03.04.26 15:48,03.04.26 15:58,IP Address,100,595,True,03.04.26 15:58,anonymous,EN,1,"Yes, I agree to participate","Drawing or sketching by hand (on paper or digitally);Describing the image verbally (spoken explanation);Using existing images (photos, illustrations, references);Googling",NA,Yes,NA,NA,NA,Writing and editing text;Paraphrasing or rephrasing text;Information search and Q&A;Summarizing content;Explaining complex concepts;Brainstorming ideas;Translation and language support,NA,More than 2 years,Weekly,NA,NA,NA,ChatGPT (image generation),NA,No,Personal use / hobby,NA,Products / mockups;Scenes / storyboards /scenerios,NA,Essential priority,7,High priority,6,Essential priority,7,Essential priority,7,Essential priority,7,Essential priority,7,Knowing how to start;Finding the right words;Controlling details;Unexpected or incorrect interpretations;Time spent on multiple iterations,NA,"I write them entirely myself;I ask another AI (e.g., ChatGPT) to generate prompts",NA,Strongly agree,7,"Artistic or style references;Composition (e.g., perspective, framing);Lighting / color;Negative prompts (explicitly stating what should not be included)",NA,Somewhat difficult,5,7-10,NA,As a tool,NA,Agree,6,Neither agree nor disagree,4,Strongly disagree,1,Slightly agree,5,Slightly disagree,3,80,Joint prompt writing and iteration;Joint discussion of goals and criteria,NA,I had to create a logo for a pitch deck.,"I once wanted to know what the lamp I had in mind for my room, would look like. It turned out exactly like the Chat GPT image.",When it doesn't depict how I visualized it in my head. Or when it oversymplifies my mental image.,If people put in pictures of real people (friends or family oder themselves). Like when people want to enhance their own photos. Not quite sure where that data goes....,28,Female,YES! I want to fill out the second survey and get a chance to win 2 cinema tickets (please write your e-mail in the text box below),TRUE,TRUE
PRE00184,1,21.03.26 09:43,21.03.26 09:51,IP Address,100,458,True,21.03.26 09:51,anonymous,EN,1,"Yes, I agree to participate","Drawing or sketching by hand (on paper or digitally);Describing the image verbally (spoken explanation);Using existing images (photos, illustrations, references);Googling",NA,Yes,NA,NA,NA,Writing and editing text;Paraphrasing or rephrasing text;Information search and Q&A;Programming help (generation or explanation),NA,1Ð6 months,Less often,NA,NA,NA,ChatGPT (image generation),NA,"Yes, subscription-based",Personal use / hobby,NA,People / characters;Logos / icons / illustrations,NA,High priority,6,Moderate priority,5,High priority,6,Moderate priority,5,Neutral,4,Moderate priority,5,Knowing how to start;Controlling details,NA,I write them entirely myself;I use prompts from online communities,NA,Agree,6,"Artistic or style references;Composition (e.g., perspective, framing);Negative prompts (explicitly stating what should not be included)",NA,Somewhat difficult,5,4-6,NA,As a tool,NA,Slightly agree,5,Slightly disagree,3,Slightly disagree,3,Slightly agree,5,Neither agree nor disagree,4,90,I don't work with others,NA,Photoshopping personal images,Removed people in the background of a personal picture,when its unrealistic or looks fake,data storage and storage of personal information,29,Male,I'm interested in the study findings (please write your e-mail in the text box below),TRUE,FALSE
PRE00021,1,14.03.26 09:42,14.03.26 09:51,IP Address,100,547,True,14.03.26 09:51,anonymous,EN,1,"Yes, I agree to participate","Drawing or sketching by hand (on paper or digitally);Describing the image verbally (spoken explanation);Using existing images (photos, illustrations, references);Googling",NA,Yes,NA,NA,NA,Writing and editing text;Information search and Q&A;Brainstorming ideas;Translation and language support;Other (please explain shortly),Image generating,More than 2 years,Daily,NA,NA,NA,ChatGPT (image generation);Midjourney;DALLáE;Adobe Firefly;Leonardo / Playground / similar tools;Other,Sora2,No,Personal use / hobby;University / studies;Creative projects (art/design);Social media content;Ideation / brainstorming,NA,People / characters;Products / mockups;Logos / icons / illustrations,NA,High priority,6,Moderate priority,5,Moderate priority,5,High priority,6,Neutral,4,Essential priority,7,Unexpected or incorrect interpretations;Time spent on multiple iterations,NA,"I write them entirely myself;I ask another AI (e.g., ChatGPT) to generate prompts;A combination of the above",NA,Somewhat agree,5,"Artistic or style references;Composition (e.g., perspective, framing);Lighting / color;Camera or photography terms;Textelements to be displayed on the image",NA,Somewhat easy,3,4-6,NA,As a tool,NA,Slightly agree,5,Agree,6,Agree,6,Neither agree nor disagree,4,Neither agree nor disagree,4,30,Joint prompt writing and iteration,NA,For a new Brandlogo. Old Logo is used as a Promt with text to get a new Brandlogo,School project: Needed a person in a Police uniform thats not a real person,"The same Person over and over agein, it slightly changes the person as soon as you generate a new picture",Rights to Pictures,24,Male,YES! I want to fill out the second survey and get a chance to win 2 cinema tickets (please write your e-mail in the text box below),TRUE,TRUE
PRE00134,1,14.03.26 10:34,14.03.26 10:41,IP Address,100,382,True,13.03.26 11:55,anonymous,EN,1,"Yes, I agree to participate","Drawing or sketching by hand (on paper or digitally);Describing the image verbally (spoken explanation);Using existing images (photos, illustrations, references);Googling",NA,Yes,NA,NA,NA,Writing and editing text;Paraphrasing or rephrasing text;Information search and Q&A;Summarizing content;Explaining complex concepts,NA,1Ð2 years,Less often,NA,NA,NA,ChatGPT (image generation),NA,"Yes, subscription-based",Personal use / hobby;University / studies;Professional work,NA,People / characters;Products / mockups;Logos / icons / illustrations,NA,High priority,6,Moderate priority,5,Essential priority,7,Moderate priority,5,Moderate priority,5,High priority,6,Finding the right words;Controlling details;Unexpected or incorrect interpretations,NA,"I write them entirely myself;I ask another AI (e.g., ChatGPT) to generate prompts",NA,Agree,6,"Artistic or style references;Composition (e.g., perspective, framing);Lighting / color;Negative prompts (explicitly stating what should not be included)",NA,Somewhat difficult,5,2-3,NA,As a tool,NA,Agree,6,Agree,6,Agree,6,Neither agree nor disagree,4,Neither agree nor disagree,4,100,I don't work with others,NA,for when I need to create a presentation,mostly when the picture is just as i imagined it,"when it fails to get the details right, even after prompting them the way i want them to be",data privacy,28,Male,YES! I want to fill out the second survey and get a chance to win 2 cinema tickets (please write your e-mail in the text box below),TRUE,TRUE
PRE00044,2,05.03.26 23:43,05.03.26 23:50,IP Address,100,429,True,05.03.26 23:50,anonymous,EN,1,"Yes, I agree to participate","Drawing or sketching by hand (on paper or digitally);Describing the image verbally (spoken explanation);Using existing images (photos, illustrations, references);Googling",NA,Yes,NA,NA,NA,Writing and editing text;Paraphrasing or rephrasing text;Summarizing content;Explaining complex concepts;Translation and language support,NA,1Ð6 months,Monthly,NA,NA,NA,ChatGPT (image generation),NA,No,Personal use / hobby,NA,People / characters;Logos / icons / illustrations,NA,High priority,6,High priority,6,Moderate priority,5,Somewhat priority,3,Neutral,4,Essential priority,7,Finding the right words;Controlling details;Unexpected or incorrect interpretations,NA,I write them entirely myself,NA,Agree,6,"Composition (e.g., perspective, framing);Materials / textures;Negative prompts (explicitly stating what should not be included)",NA,Somewhat difficult,5,2-3,NA,As a creative partner,NA,Agree,6,Strongly agree,7,Agree,6,Neither agree nor disagree,4,Slightly agree,5,10,Alternating prompt creation;Joint discussion of goals and criteria,NA,"To imagine a new hairstyle in me, or collages, or gifts",I asked him to imagine myself with a new hairsyle,When i tried to mix two pictures in one,"yes, the ecological crime",22,Female,No thanks.,TRUE,FALSE
PRE00011,1,26.02.26 13:27,26.02.26 13:32,IP Address,100,357,True,26.02.26 13:32,anonymous,EN,1,"Yes, I agree to participate","Drawing or sketching by hand (on paper or digitally);Describing the image verbally (spoken explanation);Using existing images (photos, illustrations, references);Googling;Creating diagrams or schematics",NA,Yes,NA,NA,NA,Writing and editing text;Paraphrasing or rephrasing text;Summarizing content;Explaining complex concepts;Brainstorming ideas;Translation and language support;Programming help (generation or explanation);Decision support / advice;Creative writing or storytelling,NA,More than 2 years,Daily,NA,NA,NA,ChatGPT (image generation);Midjourney;DALLáE,NA,"Yes, subscription-based",Personal use / hobby;University / studies;Professional work;Creative projects (art/design);Ideation / brainstorming,NA,"People / characters;Products / mockups;Photorealistic images;Style experiments (e.g., Òin the style ofÉÓ)",NA,Neutral,4,High priority,6,High priority,6,Somewhat priority,3,Low priority,2,Moderate priority,5,Controlling details;Unexpected or incorrect interpretations;Time spent on multiple iterations,NA,"I write them entirely myself;I use templates and adapt them;I ask another AI (e.g., ChatGPT) to generate prompts;A combination of the above",NA,Strongly agree,7,Artistic or style references;Camera or photography terms;Materials / textures;Negative prompts (explicitly stating what should not be included),NA,Very easy,2,2-3,NA,As a tool;As a creative partner,NA,Agree,6,Agree,6,Slightly agree,5,Slightly agree,5,Neither agree nor disagree,4,40,I don't work with others,NA,"Logos, branding",Creative visuals i wished for,Unspecific prompts,Cognitive dissonance,30,Male,I'm interested in the study findings (please write your e-mail in the text box below);No thanks.,TRUE,FALSE
PRE00013,1,20.03.26 14:13,20.03.26 14:23,IP Address,100,595,True,20.03.26 14:23,anonymous,EN,1,"Yes, I agree to participate","Drawing or sketching by hand (on paper or digitally);Describing the image verbally (spoken explanation);Using existing images (photos, illustrations, references);Googling;Creating diagrams or schematics",NA,Yes,NA,NA,NA,Writing and editing text;Paraphrasing or rephrasing text;Information search and Q&A;Summarizing content;Explaining complex concepts;Translation and language support;Programming help (generation or explanation),NA,7Ð12 months,Monthly,NA,NA,NA,ChatGPT (image generation);Midjourney,NA,No,Personal use / hobby;University / studies;Social media content,NA,"Landscapes / environments;Products / mockups;Logos / icons / illustrations;Style experiments (e.g., Òin the style ofÉÓ);Scenes / storyboards /scenerios",NA,High priority,6,Moderate priority,5,Essential priority,7,High priority,6,Essential priority,7,Essential priority,7,Finding the right words;Controlling details;Maintaining consistency across images;Unexpected or incorrect interpretations;Time spent on multiple iterations,NA,I write them entirely myself;I use templates and adapt them;A combination of the above,NA,Agree,6,"Artistic or style references;Composition (e.g., perspective, framing);Lighting / color;Textelements to be displayed on the image",NA,Somewhat difficult,5,4-6,NA,As a tool,NA,Slightly agree,5,Neither agree nor disagree,4,Slightly agree,5,Neither agree nor disagree,4,Neither agree nor disagree,4,30,Joint prompt writing and iteration;Alternating prompt creation;Joint discussion of goals and criteria,NA,Presentation,Presentation Slides,all details what i wanted to have,"needs time for image generation, sometimes too long and dont take all my tasks into consideration",28,Male,No thanks.,TRUE,FALSE
